INSTNM,CITY,STATE,ZIP,ACCREDAGENCY,Modified_PEP_ROI,Original_PEP_ROI,PCTPELL,MSI_TYPE
Dallas Barber & Stylist College,Dallas,TX,75243,Council on Occupational Education,-0.2708295043803223,-3.6923598936831983,0.5844,Non-MSI
Jay's Technical Institute,Houston,TX,77071,Council on Occupational Education,-0.1876699293094073,-5.328504165157551,0.3714,Non-MSI
Trend Barber College,Houston,TX,77071-2202,Council on Occupational Education,-0.1568062827225131,-6.3772954924874785,0.7818,Non-MSI
Valley Grande Institute for Academic Studies,Weslaco,TX,78596,Accrediting Bureau of Health Education Schools,-0.020611423299505157,-48.51678535096643,0.9746,Non-MSI
Interactive College of Technology,Houston,TX,77060-2303,Council on Occupational Education,-0.10616123642439432,-9.419634074365533,0.7273,Non-MSI
Baptist University of the Americas,San Antonio,TX,78224-1443,Association for Biblical Higher Education,-1.0620492014425553,-0.9415759633750721,0.35,Non-MSI
Auguste Escoffier School of Culinary Arts-Austin,Austin,TX,78752,Council on Occupational Education,-0.5392198535181795,-1.8545311220931995,0.4744,Non-MSI
Culinary Institute Inc,Houston,TX,77022-4322,Accrediting Commission of Career Schools and Colleges,0.018205676210830687,54.92792403970652,0.6832,Non-MSI
American InterContinental University-Houston,Houston,TX,77042,Higher Learning Commission,0.18731984053971173,5.338462797740853,0.7114,Non-MSI
Remington College-North Houston Campus,Houston,TX,77067,Accrediting Commission of Career Schools and Colleges,-0.05115874612354371,-19.546999795207864,0.7668,HSI
Altierus Career College-Bissonnet,Houston,TX,77036-8001,,-0.03839116441074027,-26.04766006316394,0.6609,HSI
Academy of Hair Design-Jasper,Jasper,TX,75951,National Accrediting Commission of Career Arts and Sciences,-0.34962939238653,-2.8601714323104104,0.5125,Non-MSI
The College of Health Care Professions-Southwest Houston,Houston,TX,77074,Accrediting Bureau of Health Education Schools,-0.020688908145580588,-48.33507853403142,0.6767,Non-MSI
